"Chr"	"Start"	"End"	"Conc"	"Conc_virus"	"Conc_mock"	"Fold"	"p-value"	"FDR"
"16561"	"chr17"	64740123	64740355	1.97	0.99	2.55	-1.56	0.000309	0.0208
"17973"	"chr19"	2611198	2611783	6.33	6.66	5.88	0.78	0.000313	0.021
"32752"	"chr6"	107027907	107028440	6.22	6.51	5.85	0.66	0.000313	0.021
"13660"	"chr16"	1773315	1773718	5.92	6.26	5.47	0.79	0.000314	0.0211
"447"	"chr1"	16624966	16625245	5.45	5.03	5.77	-0.74	0.000315	0.0211
"36847"	"chr8"	108080437	108080782	4.46	3.86	4.89	-1.03	0.000315	0.0211
"39515"	"chrX"	51803342	51803637	3.15	3.72	2.17	1.55	0.000316	0.0211
"16463"	"chr17"	60640618	60640831	2.96	1.53	3.66	-2.13	0.000317	0.0211
"37111"	"chr8"	133202918	133203359	5.79	6.14	5.33	0.81	0.000317	0.0211
"10799"	"chr13"	110819268	110819810	6.5	6.77	6.18	0.58	0.000319	0.0212
"34616"	"chr7"	87059707	87060056	3.56	4.05	2.82	1.23	0.000323	0.0213
"31225"	"chr5"	176675683	176675980	3.75	2.84	4.3	-1.45	0.000323	0.0213
"3272"	"chr1"	204791693	204792105	5.33	5.76	4.72	1.04	0.000323	0.0213
"34286"	"chr7"	47254370	47254992	5.94	6.31	5.45	0.86	0.000324	0.0213
"31251"	"chr5"	177456352	177456750	6.47	6.77	6.08	0.7	0.000324	0.0213
"23667"	"chr20"	62260458	62260692	2.91	2.15	3.41	-1.26	0.000324	0.0213
"30411"	"chr5"	127909147	127909392	3.35	2.68	3.81	-1.13	0.000326	0.0214
"3948"	"chr10"	3068961	3069247	2.93	3.54	1.87	1.66	0.000328	0.0215
"16885"	"chr17"	78828558	78828812	3.48	2.8	3.95	-1.15	0.000328	0.0215
"12108"	"chr14"	105480730	105481210	6.46	6.76	6.09	0.68	0.000329	0.0215
"33781"	"chr7"	12686673	12687547	6.35	6.68	5.91	0.77	0.000331	0.0216
"37165"	"chr8"	139705751	139706124	5.6	5.94	5.16	0.78	0.000335	0.0218
"962"	"chr1"	33367799	33368530	6.44	6.78	6	0.79	0.000335	0.0218
"8042"	"chr12"	3073247	3073739	6.56	6.87	6.18	0.68	0.000336	0.0218
"2338"	"chr1"	150979285	150979872	6.89	7.19	6.5	0.7	0.000338	0.0219
"17004"	"chr17"	81871345	81871699	3.79	4.27	3.07	1.2	0.000339	0.0219
"22466"	"chr2"	233404299	233404535	3.81	2.91	4.36	-1.45	0.00034	0.0219
"8797"	"chr12"	53047286	53047665	4.55	4.95	3.99	0.96	0.000343	0.0221
"38947"	"chr9"	136363663	136364173	6.31	6.67	5.82	0.85	0.000343	0.0221
"34827"	"chr7"	101538332	101539366	6.4	6.68	6.05	0.63	0.000344	0.0221
"23"	"chr1"	869617	870161	6.08	6.45	5.58	0.88	0.000345	0.0221
"25819"	"chr3"	52041263	52041504	2.48	1.35	3.1	-1.75	0.000345	0.0221
"13879"	"chr16"	12095224	12095590	5.37	5.75	4.86	0.89	0.000345	0.0221
"29733"	"chr5"	55146601	55146903	5.84	6.18	5.39	0.8	0.000349	0.0223
"31959"	"chr6"	33702425	33702715	4.25	3.1	4.88	-1.79	0.000352	0.0224
"669"	"chr1"	24415403	24415774	5.3	5.77	4.58	1.19	0.000352	0.0224
"140"	"chr1"	3490975	3491562	6.61	6.91	6.22	0.69	0.000353	0.0224
"5301"	"chr10"	101570182	101570815	6.16	6.46	5.79	0.67	0.000358	0.0227
"31967"	"chr6"	33812582	33812969	3.04	2.02	3.63	-1.61	0.000359	0.0228
"36209"	"chr8"	42319699	42319989	5.01	4.48	5.4	-0.92	0.00036	0.0228
"1295"	"chr1"	50332930	50333926	6.43	6.76	6	0.76	0.00036	0.0228
"23474"	"chr20"	50191892	50192219	3.75	4.33	2.76	1.57	0.000363	0.0229
"4804"	"chr10"	73644204	73644630	5.1	5.57	4.42	1.15	0.000365	0.023
"5782"	"chr11"	925323	925856	5.46	5.84	4.92	0.92	0.000365	0.023
"28962"	"chr4"	153207610	153207895	3.91	2.89	4.51	-1.62	0.000367	0.023
"11107"	"chr14"	33792713	33793249	6.02	6.38	5.54	0.84	0.000371	0.0232
"36018"	"chr8"	27624794	27624996	2.89	1.48	3.59	-2.11	0.000371	0.0232
"2563"	"chr1"	156893654	156894034	3.19	3.8	2.1	1.7	0.000373	0.0233
"5566"	"chr10"	119686290	119686787	5.78	6.13	5.3	0.83	0.000374	0.0233
"8699"	"chr12"	50039025	50039707	5.97	6.3	5.54	0.76	0.000375	0.0233
"23194"	"chr20"	36830995	36831341	3.13	2.28	3.65	-1.37	0.000376	0.0233
"16297"	"chr17"	50272996	50273710	5.89	6.21	5.47	0.74	0.000377	0.0233
"21950"	"chr2"	198657576	198657818	3.55	2.54	4.14	-1.6	0.000377	0.0233
"13320"	"chr15"	84748512	84748974	3.64	4.18	2.77	1.41	0.000377	0.0233
"14047"	"chr16"	23557193	23557694	6.06	6.43	5.56	0.87	0.000377	0.0233
"17424"	"chr18"	37444644	37445041	3.47	2.7	3.97	-1.27	0.000377	0.0233
"11386"	"chr14"	59883052	59883261	2.65	1.22	3.35	-2.14	0.000378	0.0233
"38666"	"chr9"	126893137	126893364	2.65	1.29	3.34	-2.05	0.000378	0.0233
"18428"	"chr19"	13862265	13862592	6.29	6.56	5.94	0.62	0.000379	0.0233
"12140"	"chr14"	106618475	106618814	2.47	3.21	0.84	2.38	0.000382	0.0235
"19591"	"chr19"	58406939	58407451	3.44	2.41	4.03	-1.61	0.000386	0.0237
"15712"	"chr17"	32444134	32444518	6.21	6.56	5.76	0.8	0.000389	0.0237
"1396"	"chr1"	55375462	55375982	5.65	6.06	5.07	0.99	0.000389	0.0237
"16668"	"chr17"	72030386	72030918	3.91	3.21	4.38	-1.17	0.000389	0.0237
"19960"	"chr2"	27085552	27086064	4.14	3.19	4.71	-1.52	0.000392	0.0238
"476"	"chr1"	17485376	17485774	3.23	1.93	3.9	-1.97	0.000395	0.024
"17822"	"chr18"	80034541	80034833	4.5	4.9	3.94	0.96	0.000396	0.0241
"30467"	"chr5"	132426716	132427082	3.37	2.32	3.97	-1.65	0.000397	0.0241
"3996"	"chr10"	6579943	6580704	4.94	5.35	4.37	0.97	0.000398	0.0241
"31150"	"chr5"	172939026	172939413	3.6	2.5	4.22	-1.72	0.000398	0.0241
"19139"	"chr19"	45479010	45479347	6.05	6.38	5.61	0.77	0.000404	0.0243
"23511"	"chr20"	51372045	51372612	5.33	4.76	5.74	-0.98	0.000404	0.0243
"26650"	"chr3"	130699875	130700062	2.66	1.35	3.33	-1.98	0.000407	0.0245
"22620"	"chr2"	240914029	240914845	6.77	6.98	6.53	0.44	0.000409	0.0246
"37020"	"chr8"	125431942	125432469	5.48	5.93	4.84	1.09	0.00041	0.0246
"32540"	"chr6"	81076006	81076364	3.49	2.54	4.06	-1.52	0.000411	0.0246
"23881"	"chr21"	25790120	25790353	2.6	1.42	3.24	-1.82	0.000412	0.0246
"24846"	"chr22"	39534763	39535148	5.83	6.22	5.3	0.92	0.000413	0.0246
"19536"	"chr19"	55467650	55468237	6.54	6.84	6.17	0.67	0.000413	0.0246
"33685"	"chr7"	4883451	4884080	6.47	6.88	5.9	0.98	0.000414	0.0247
"8825"	"chr12"	53452455	53453020	4.65	5.1	3.99	1.11	0.000415	0.0247
"207"	"chr1"	6553992	6554953	6.45	6.7	6.16	0.54	0.000417	0.0247
"10406"	"chr13"	51584294	51584494	2.19	2.79	1.12	1.67	0.000418	0.0248
"21914"	"chr2"	196068279	196068854	6.31	6.55	6.02	0.53	0.000419	0.0248
"22622"	"chr2"	240989812	240990255	3.7	2.94	4.19	-1.25	0.000419	0.0248
"35523"	"chr7"	151245218	151246015	6.36	6.76	5.79	0.96	0.000427	0.0251
"8223"	"chr12"	10673952	10674516	6.27	6.58	5.88	0.71	0.000427	0.0251
"28043"	"chr4"	51842818	51843269	3.1	3.66	2.17	1.49	0.000427	0.0251
"24323"	"chr22"	20180131	20180583	3.75	2.91	4.27	-1.36	0.000428	0.0251
"10638"	"chr13"	95552553	95552722	2.54	3.14	1.51	1.63	0.000429	0.0252
"36460"	"chr8"	71975269	71975567	5.33	5.73	4.78	0.94	0.00043	0.0252
"30594"	"chr5"	138610468	138610752	3.04	1.79	3.7	-1.91	0.000431	0.0252
"7723"	"chr11"	120912553	120912804	2.59	1.42	3.23	-1.82	0.000431	0.0252
"3615"	"chr1"	224513448	224514058	5.19	5.55	4.71	0.84	0.000432	0.0252
"18857"	"chr19"	38685817	38686155	3.65	2.64	4.24	-1.6	0.000434	0.0253
"25012"	"chr22"	46390579	46391157	4.23	3.25	4.81	-1.56	0.000436	0.0254
"16997"	"chr17"	81559032	81559378	3.04	1.98	3.64	-1.66	0.000437	0.0254
"6991"	"chr11"	70158240	70158502	3.09	2.06	3.68	-1.62	0.00044	0.0254
"24973"	"chr22"	44820237	44820949	6.22	6.49	5.89	0.6	0.000441	0.0254
"28762"	"chr4"	134024346	134024531	2.68	1.29	3.38	-2.09	0.000441	0.0254
"10108"	"chr13"	27829829	27830285	6.11	6.46	5.66	0.8	0.000442	0.0254
"4484"	"chr10"	48524254	48524810	5.33	5.7	4.83	0.87	0.000442	0.0254
"26562"	"chr3"	126960354	126960901	3.73	2.67	4.33	-1.65	0.000442	0.0254
"31884"	"chr6"	31806610	31806995	3.15	3.76	2.06	1.7	0.000442	0.0254
"6719"	"chr11"	63768062	63768538	5.75	6.14	5.23	0.91	0.000443	0.0254
"19869"	"chr2"	21042841	21043218	5.96	6.25	5.59	0.66	0.000443	0.0254
"12787"	"chr15"	63122303	63122596	3.06	3.63	2.09	1.55	0.000445	0.0255
"27829"	"chr4"	22607405	22607674	4.01	2.95	4.61	-1.66	0.000446	0.0255
"24321"	"chr22"	20156743	20157372	6.62	6.98	6.13	0.85	0.000446	0.0255
"20341"	"chr2"	60581507	60582373	6.32	6.59	5.99	0.61	0.000447	0.0255
"1665"	"chr1"	85398757	85399007	3.09	1.75	3.77	-2.03	0.000447	0.0255
"29316"	"chr5"	1641491	1641912	5.13	4.38	5.62	-1.24	0.000452	0.0257
"25703"	"chr3"	47989976	47990419	5.73	6.12	5.19	0.94	0.000454	0.0257
"30897"	"chr5"	150560965	150561232	5.4	5.75	4.93	0.82	0.000455	0.0258
"20684"	"chr2"	86078872	86079114	3.83	3.02	4.34	-1.32	0.000455	0.0258
"27216"	"chr3"	179750783	179751069	3.64	2.47	4.28	-1.81	0.000458	0.0259
"22376"	"chr2"	230814616	230814957	3.64	2.41	4.3	-1.89	0.000461	0.026
"23381"	"chr20"	46058092	46058591	4.46	3.88	4.88	-1	0.000461	0.026
"7075"	"chr11"	73335495	73335814	6.5	6.84	6.06	0.78	0.000461	0.026
"17003"	"chr17"	81869201	81869760	6.43	6.76	6	0.76	0.000465	0.0261
"24700"	"chr22"	35623270	35623847	5.77	6.05	5.41	0.64	0.000466	0.0261
"8448"	"chr12"	29591176	29591388	1.88	0.99	2.43	-1.44	0.000467	0.0261
"30158"	"chr5"	95858691	95859081	6.3	6.63	5.86	0.77	0.000467	0.0261
"37201"	"chr8"	141384600	141385125	5.44	4.94	5.8	-0.86	0.000471	0.0263
"32053"	"chr6"	37029264	37029577	5.24	5.67	4.63	1.05	0.000471	0.0263
"31353"	"chr6"	148313	149069	5.58	5.92	5.14	0.78	0.000471	0.0263
"27469"	"chr3"	197029621	197030161	6.3	6.69	5.76	0.93	0.000474	0.0264
"39478"	"chrX"	49163677	49164054	4.94	5.37	4.33	1.03	0.000475	0.0264
"802"	"chr1"	27663152	27663499	5.73	6.15	5.14	1.01	0.000476	0.0264
"27041"	"chr3"	159988490	159988990	6.35	6.65	5.98	0.68	0.000478	0.0264
"20590"	"chr2"	75053373	75053841	4.45	3.93	4.83	-0.91	0.000479	0.0264
"4342"	"chr10"	35027705	35027873	2.36	1.54	2.88	-1.34	0.00048	0.0264
"11653"	"chr14"	75283593	75283851	3.11	1.42	3.87	-2.46	0.00048	0.0264
"5734"	"chr10"	133520168	133520599	5.61	6.06	4.94	1.12	0.000481	0.0264
"27127"	"chr3"	170499638	170499894	2.96	1.75	3.61	-1.87	0.000481	0.0264
"38281"	"chr9"	98796423	98796761	5.04	5.41	4.54	0.87	0.000482	0.0264
"27130"	"chr3"	170811960	170812436	5.76	6.05	5.4	0.65	0.000482	0.0264
"27473"	"chr3"	197458415	197458669	2.96	1.75	3.61	-1.87	0.000483	0.0264
"28471"	"chr4"	103046689	103046997	4.5	3.79	4.98	-1.19	0.000483	0.0264
"39552"	"chrX"	55011422	55011635	2.33	1.22	2.95	-1.74	0.000483	0.0264
"10861"	"chr13"	114146657	114146876	2.35	1.6	2.84	-1.24	0.000487	0.0265
"23630"	"chr20"	59933825	59934481	6.38	6.75	5.89	0.86	0.000487	0.0265
"8640"	"chr12"	48972792	48973001	2.47	1.66	2.98	-1.33	0.000491	0.0267
"40"	"chr1"	1032719	1033255	5.6	6.02	5	1.02	0.000497	0.027
"27840"	"chr4"	24472830	24473722	6.12	6.42	5.73	0.69	0.000498	0.027
"29802"	"chr5"	60688299	60688569	3.16	2.32	3.69	-1.37	0.000498	0.027
"37"	"chr1"	1001818	1002370	6.52	6.77	6.23	0.54	5e-04	0.0271
"7580"	"chr11"	116276244	116277090	5.86	6.16	5.48	0.68	0.000501	0.0271
"33701"	"chr7"	5529566	5529868	5.63	6.1	4.95	1.15	0.000501	0.0271
"13138"	"chr15"	77821398	77822071	5.04	4.18	5.57	-1.39	0.000502	0.0271
"38555"	"chr9"	121684249	121684787	4.81	4.18	5.25	-1.07	0.000503	0.0271
"2960"	"chr1"	181142494	181142853	6.07	6.35	5.72	0.63	0.000504	0.0271
"8338"	"chr12"	19643721	19644022	3.7	2.99	4.18	-1.19	0.000504	0.0271
"19650"	"chr2"	1897190	1897433	3.95	4.58	2.84	1.74	0.000505	0.0271
"16815"	"chr17"	76465842	76466528	5.88	6.2	5.47	0.73	0.000506	0.0271
"20807"	"chr2"	96138536	96138967	4.27	3.69	4.68	-0.99	0.000507	0.0271
"14747"	"chr16"	77784750	77785232	3.62	2.53	4.23	-1.7	0.000509	0.0272
"26759"	"chr3"	138935987	138936597	6.38	6.64	6.05	0.59	0.000509	0.0272
"13919"	"chr16"	15482294	15482558	1.91	0.99	2.46	-1.48	0.000515	0.0275
"24598"	"chr22"	30219127	30219315	2.04	0.99	2.64	-1.66	0.000516	0.0275
"12751"	"chr15"	61051509	61051874	4.67	3.97	5.14	-1.17	0.000518	0.0275
"23214"	"chr20"	37543824	37544047	2.81	1.64	3.44	-1.8	0.000518	0.0275
"37550"	"chr9"	21455409	21455654	3.93	3.25	4.39	-1.15	0.000518	0.0275
"6507"	"chr11"	47249048	47249308	3.03	1.79	3.68	-1.89	0.000519	0.0275
"732"	"chr1"	26275311	26276173	5.96	6.24	5.6	0.64	0.000523	0.0276
"32052"	"chr6"	37021682	37021974	3.33	2.21	3.95	-1.73	0.000524	0.0276
"1851"	"chr1"	99728896	99729157	2.66	1.48	3.3	-1.82	0.000524	0.0276
"38846"	"chr9"	133144332	133145075	6.45	6.77	6.04	0.73	0.000526	0.0277
"32692"	"chr6"	99822796	99823054	3.46	2.17	4.13	-1.96	0.000528	0.0278
"1424"	"chr1"	58782325	58782686	2.66	3.3	1.47	1.83	0.000529	0.0278
"15961"	"chr17"	41786316	41786660	4.92	5.28	4.43	0.85	0.000529	0.0278
"38380"	"chr9"	109320891	109321456	6.12	6.37	5.82	0.56	0.00053	0.0278
"36786"	"chr8"	103373263	103373534	4.97	5.51	4.09	1.42	0.000532	0.0278
"9087"	"chr12"	67415536	67415811	3.02	2.18	3.56	-1.38	0.000534	0.0279
"26509"	"chr3"	124761251	124761603	5.72	6.07	5.25	0.83	0.000535	0.0279
"28470"	"chr4"	103032595	103032939	3.35	2.44	3.9	-1.45	0.000537	0.028
"5905"	"chr11"	5369957	5370213	3.83	2.94	4.38	-1.44	0.000539	0.0281
"20643"	"chr2"	84925485	84926183	6.47	6.78	6.07	0.71	0.000539	0.0281
"37306"	"chr8"	144685758	144686148	5.59	6.02	4.98	1.04	0.00054	0.0281
"9895"	"chr12"	124992904	124993145	2.65	3.23	1.69	1.54	0.000542	0.0281
"5539"	"chr10"	118627026	118627255	2.51	3.14	1.36	1.78	0.000544	0.0282
"26401"	"chr3"	115814840	115815131	5.64	5.95	5.24	0.72	0.000544	0.0282
"6228"	"chr11"	26276873	26277202	5.9	6.33	5.3	1.03	0.000545	0.0282
"9582"	"chr12"	109900059	109900328	2.9	1.48	3.6	-2.12	0.000546	0.0282
"21176"	"chr2"	121530984	121531190	3.24	3.85	2.19	1.66	0.000547	0.0282
"15558"	"chr17"	21239713	21240011	3.59	2.31	4.26	-1.95	0.000549	0.0282
"26522"	"chr3"	125165245	125165552	4.42	3.88	4.81	-0.93	0.000551	0.0283
"36321"	"chr8"	57343336	57343894	6.14	6.44	5.77	0.67	0.000554	0.0284
"19634"	"chr2"	1550671	1551279	6.44	6.7	6.13	0.56	0.000559	0.0286
"23064"	"chr20"	32091924	32092382	6.16	6.41	5.86	0.56	0.000559	0.0286
"11987"	"chr14"	101628449	101629142	6.1	6.42	5.67	0.76	0.00056	0.0286
"33574"	"chr7"	321788	322497	6.26	6.6	5.82	0.78	0.000565	0.0288
"20224"	"chr2"	46650586	46650888	5.9	6.29	5.36	0.93	0.000565	0.0288
"30334"	"chr5"	119022029	119022254	2.38	1.22	3.01	-1.79	0.000571	0.0291
"10783"	"chr13"	110137763	110138012	2.82	3.39	1.87	1.53	0.000572	0.0291
"4333"	"chr10"	34638491	34638786	5.52	5.86	5.09	0.76	0.000575	0.0292
"20454"	"chr2"	68943542	68943836	5.15	5.51	4.67	0.84	0.000576	0.0292
"37895"	"chr9"	70111035	70111365	5.41	5.73	4.98	0.75	0.000579	0.0293
"19346"	"chr19"	49473775	49474367	6.54	6.87	6.11	0.76	0.000581	0.0294
"4785"	"chr10"	72274705	72275064	5.03	5.42	4.51	0.9	0.000582	0.0294
"38486"	"chr9"	115584662	115584903	2.1	0.99	2.72	-1.73	0.000583	0.0294
"33980"	"chr7"	28096723	28096978	5.02	5.49	4.32	1.16	0.000583	0.0294
"5242"	"chr10"	100046060	100046402	5.9	6.2	5.54	0.66	0.000584	0.0294
"28687"	"chr4"	123564804	123565071	4.29	3.55	4.78	-1.23	0.000585	0.0294
"13744"	"chr16"	3131835	3132113	3.99	2.98	4.58	-1.61	0.000586	0.0295
"407"	"chr1"	15323461	15323885	6.23	6.49	5.92	0.57	0.000587	0.0295
"14841"	"chr16"	84511266	84511668	6.16	6.56	5.61	0.95	0.000591	0.0295
"12010"	"chr14"	102524403	102524862	6.66	6.97	6.26	0.7	0.000591	0.0295
"24827"	"chr22"	39291627	39291858	2.57	1.75	3.08	-1.33	0.000591	0.0295
"27560"	"chr4"	3106561	3106923	6.25	6.54	5.9	0.64	0.000591	0.0295
"38886"	"chr9"	134170473	134171086	6.84	7.11	6.51	0.6	0.000594	0.0296
"37332"	"chr9"	696800	697019	2.77	1.89	3.32	-1.42	0.000597	0.0297
"4231"	"chr10"	27656691	27656938	3.96	4.5	3.08	1.42	0.000598	0.0297
"15777"	"chr17"	36072492	36073156	4.96	5.48	4.14	1.34	0.000599	0.0297
"7462"	"chr11"	107999822	108000101	2.88	1.94	3.44	-1.51	0.000599	0.0297
"15378"	"chr17"	14048166	14048437	3.33	2.73	3.75	-1.02	0.000599	0.0297
"14640"	"chr16"	70380962	70381191	3.68	4.17	2.95	1.22	6e-04	0.0297
"16813"	"chr17"	76458598	76459069	4.71	3.96	5.21	-1.25	0.000605	0.0298
"7618"	"chr11"	118145067	118145712	5.79	6.11	5.38	0.73	0.000605	0.0298
"33687"	"chr7"	5085438	5085988	6.11	6.41	5.72	0.7	0.000605	0.0298
"18510"	"chr19"	16386555	16386978	4.6	3.91	5.07	-1.16	0.00061	0.03
"4762"	"chr10"	71569943	71570386	5.56	5.89	5.13	0.77	0.00061	0.03
"4817"	"chr10"	74103639	74103874	2.82	2.1	3.3	-1.2	0.000611	0.03
"9774"	"chr12"	120713824	120714219	5.24	5.59	4.78	0.81	0.000612	0.03
"32000"	"chr6"	35241040	35241752	6.36	6.67	5.96	0.71	0.000612	0.03
"25693"	"chr3"	47420904	47421490	6.12	6.35	5.84	0.52	0.000621	0.0304
"33188"	"chr6"	139124940	139125163	2.81	2.1	3.28	-1.18	0.000622	0.0304
"22420"	"chr2"	231713686	231714708	6.24	6.57	5.81	0.77	0.000625	0.0305
"31419"	"chr6"	3209195	3209401	2.22	1.22	2.81	-1.59	0.000628	0.0306
"29294"	"chr5"	436183	436638	3.28	2.02	3.94	-1.93	0.000629	0.0306
"295"	"chr1"	9626931	9627462	7.37	7.65	7.02	0.63	0.000629	0.0306
"19760"	"chr2"	11738524	11738830	3.65	2.37	4.32	-1.95	0.000632	0.0307
"38663"	"chr9"	126773075	126773339	3.47	2.72	3.96	-1.23	0.000633	0.0307
"18164"	"chr19"	7341116	7341585	5.86	6.24	5.34	0.9	0.000635	0.0308
"38443"	"chr9"	113589976	113590263	4.52	3.78	5	-1.23	0.000638	0.0309
"5607"	"chr10"	123573275	123573563	3.33	3.89	2.39	1.5	0.000639	0.0309
"23637"	"chr20"	60206257	60206513	3.41	2.09	4.08	-1.99	0.000642	0.031
"24086"	"chr21"	39136225	39136457	3.28	2.38	3.82	-1.44	0.000642	0.031
"18852"	"chr19"	38402781	38403514	6.31	6.62	5.91	0.72	0.000648	0.0311
"34781"	"chr7"	100482934	100483805	6.89	7.26	6.39	0.87	0.000648	0.0311
"14398"	"chr16"	57045811	57046155	4.83	4.15	5.28	-1.14	0.000649	0.0311
"36380"	"chr8"	64382188	64382418	3.47	3.95	2.76	1.18	0.000649	0.0311
"22712"	"chr20"	2755825	2756349	4.92	4.29	5.35	-1.06	0.000649	0.0311
"16320"	"chr17"	50681290	50681846	4.57	3.53	5.17	-1.64	0.000649	0.0311
"22954"	"chr20"	21505942	21506709	5.44	5.83	4.92	0.91	0.000652	0.0312
"4169"	"chr10"	21495657	21496066	6.08	6.37	5.72	0.65	0.000653	0.0312
"3629"	"chr1"	225572456	225572734	2.22	1.22	2.81	-1.59	0.000656	0.0313
"31091"	"chr5"	170638573	170639159	6.07	6.38	5.68	0.69	0.000656	0.0313
"1407"	"chr1"	56831830	56832220	6.04	6.36	5.61	0.76	0.000657	0.0313
"378"	"chr1"	13807287	13807522	2.86	1.7	3.5	-1.8	0.000657	0.0313
"2740"	"chr1"	165392635	165393254	5.79	6.12	5.37	0.76	0.000659	0.0313
"16188"	"chr17"	48011363	48011636	4.08	3.1	4.66	-1.57	0.000662	0.0314
"27410"	"chr3"	194472316	194472632	6.2	6.58	5.69	0.89	0.000663	0.0314
"6995"	"chr11"	70227045	70227353	2.88	2.18	3.35	-1.17	0.000664	0.0314
"7144"	"chr11"	76207434	76208096	6.13	6.42	5.77	0.65	0.000664	0.0314
"324"	"chr1"	10941659	10942367	6.34	6.68	5.89	0.79	0.000665	0.0314
"276"	"chr1"	9181072	9181783	6.64	6.89	6.33	0.56	0.000666	0.0314
"13684"	"chr16"	2153544	2153981	5.79	6.13	5.34	0.8	0.000668	0.0315
"554"	"chr1"	20493795	20494214	6.32	6.62	5.94	0.68	0.000677	0.0319
"24377"	"chr22"	21726747	21726987	2.38	1.29	2.99	-1.71	0.000678	0.0319
"5923"	"chr11"	6439040	6439329	4	2.93	4.61	-1.68	0.000678	0.0319
"11026"	"chr14"	24411968	24412442	4.36	3.44	4.91	-1.47	0.000681	0.032
"10911"	"chr14"	21846323	21846614	4.72	5.18	4.05	1.12	0.000684	0.032
"5152"	"chr10"	96229520	96229859	5.24	5.58	4.78	0.8	0.000685	0.032
"22662"	"chr20"	651014	651311	2.4	1.29	3.02	-1.74	0.000688	0.0321
"21059"	"chr2"	112685393	112685661	2.39	1.55	2.91	-1.37	0.000697	0.0325
"681"	"chr1"	24909378	24910012	4.46	3.95	4.84	-0.89	7e-04	0.0326
"27499"	"chr4"	762608	762869	2.63	1.53	3.25	-1.71	7e-04	0.0326
"32093"	"chr6"	39088380	39088619	2.63	1.53	3.25	-1.71	7e-04	0.0326
"14652"	"chr16"	71358494	71358852	6.04	6.35	5.66	0.69	0.000702	0.0326
"8730"	"chr12"	51424835	51425349	6.15	6.51	5.66	0.85	0.000703	0.0326
"14728"	"chr16"	75517367	75517802	6.59	6.91	6.17	0.75	0.000704	0.0326
"33225"	"chr6"	142942891	142943111	2.7	1.29	3.4	-2.11	0.000704	0.0326
"9181"	"chr12"	76621469	76621827	5.25	5.7	4.62	1.08	0.00071	0.0329
"27806"	"chr4"	19791527	19791742	2.47	1.35	3.09	-1.74	0.000714	0.033
"3253"	"chr1"	204162306	204162846	6.72	6.99	6.38	0.61	0.000715	0.033
"34038"	"chr7"	31488707	31488902	2.93	3.58	1.72	1.86	0.000717	0.033
"13803"	"chr16"	5239314	5239854	4.66	5.06	4.11	0.95	0.000722	0.0333
"34793"	"chr7"	100691307	100692005	6.22	6.5	5.87	0.63	0.000723	0.0333
"17547"	"chr18"	50195107	50195398	2.48	3.08	1.4	1.68	0.000724	0.0333
"21282"	"chr2"	132448867	132449172	4.53	3.99	4.93	-0.93	0.000728	0.0334
"38761"	"chr9"	129737599	129738300	5.86	6.28	5.28	1.01	0.000729	0.0334
"37203"	"chr8"	141431409	141432192	6.2	6.47	5.88	0.59	0.000729	0.0334
"7751"	"chr11"	122633251	122633492	3.01	2.21	3.51	-1.3	0.000733	0.0335
"36353"	"chr8"	61023528	61024048	6.14	6.4	5.83	0.57	0.000733	0.0335
"34014"	"chr7"	30445954	30446186	2.21	1.22	2.79	-1.57	0.000739	0.0337
"6046"	"chr11"	12047294	12047702	5.67	6.05	5.14	0.92	0.000742	0.0338
"3553"	"chr1"	220690111	220690634	6.05	6.41	5.56	0.85	0.000743	0.0338
"30702"	"chr5"	141619049	141619589	6.03	6.41	5.51	0.9	0.000744	0.0338
"23468"	"chr20"	50120716	50121141	4.6	3.96	5.03	-1.07	0.000745	0.0338
"31055"	"chr5"	167587855	167588106	3.5	2.73	4	-1.27	0.000746	0.0338
"1983"	"chr1"	110780679	110781254	4.95	5.32	4.44	0.89	0.000746	0.0338
"6642"	"chr11"	61516818	61517513	6.52	6.82	6.14	0.68	0.000747	0.0338
"37983"	"chr9"	77764981	77765189	3.27	1.75	3.99	-2.24	0.000752	0.034
"1260"	"chr1"	47192706	47193256	6.4	6.62	6.14	0.48	0.000755	0.0341
"29941"	"chr5"	73591132	73591408	4.47	4.9	3.85	1.04	0.000759	0.0342
"2908"	"chr1"	178299947	178300276	5.44	5.78	5	0.78	0.000759	0.0342
"27227"	"chr3"	181702078	181702404	5.41	5.8	4.87	0.93	0.000761	0.0343
"38038"	"chr9"	84397059	84397405	5.71	6.1	5.17	0.93	0.000762	0.0343
"3967"	"chr10"	5018969	5019180	1.98	1.07	2.54	-1.47	0.000766	0.0344
"3341"	"chr1"	206761539	206761794	2.51	1.29	3.16	-1.87	0.000771	0.0345
"23415"	"chr20"	47304318	47304495	2.4	1.14	3.06	-1.91	0.000771	0.0345
"38533"	"chr9"	121055728	121055981	2.86	2.18	3.32	-1.14	0.000771	0.0345
"2978"	"chr1"	182601121	182601725	5.07	5.45	4.54	0.92	0.000776	0.0347
"34806"	"chr7"	101059337	101059833	6.37	6.58	6.11	0.48	0.000782	0.0349
"15848"	"chr17"	38663137	38663514	4.98	4.12	5.52	-1.4	0.000786	0.035
"32760"	"chr6"	107657722	107658260	3.44	2.32	4.06	-1.75	0.000786	0.035
"3124"	"chr1"	200258463	200258789	3.43	2.56	3.97	-1.41	0.000788	0.035
